Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
101,156474,09.01.2015 13:34,SPITALUL CLINIC C.F. CLUJ,4288349,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"465,454.40",RON,Online,NU,NU,33651000-8,Antiinfectioase generale pentru uz sistemic (Rev.2)
102,156455,10.01.2015 01:30,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,229,500.00",RON,Online,DA,NU,31711120-0,Transductoare (Rev.2)
103,156473,10.01.2015 01:30,S.C.TETKRON S.R.L,RO 27272953,Brasov,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"4,089,054.00",RON,Offline,DA,NU,60300000-1,Servicii de transport prin conducte (Rev.2)
104,156490,10.01.2015 01:30,Ministerul Afacerilor Externe,4266863,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,650,562.50",RON,Online,DA,DA,72212900-8,Diverse servicii de dezvoltare de software si sisteme informatice (Rev.2)
105,156468,10.01.2015 01:30,SPITALUL JUDETEAN DE URGENTA PLOIESTI,2844545,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"8,411,896.08",RON,Online,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
106,156487,10.01.2015 01:30,"REGIA AUTONOMA  AEROPORTUL ""DELTA DUNARII"" TULCEA",R 2647128,Tulcea,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"61,142,063.00",RON,Offline,DA,DA,45235000-3,"Lucrari de constructii de aerodromuri, piste de decolare si de aterizare si suprafete de manevrare (Rev.2)"
107,156491,10.01.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU OPTOELECTRONICA - INOE 2000,RO 9113623,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"716,608.00",RON,Offline,DA,DA,38580000-4,"Echipamente radiologice, altele decat cele medicale (Rev.2)"
108,156475,10.01.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECTIA MEDIULUI,27282590,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,353,000.00",RON,Online,DA,DA,38434000-6,Analizoare (Rev.2)
109,156489,10.01.2015 01:30,Primaria Municipiului Tirgu-Mures,4322823,Mures,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"3,984,120.00",RON,Offline,DA,DA,45453100-8,Lucrari de renovare (Rev.2)
110,156476,10.01.2015 01:30,R.A. AEROPORTUL IASI,9671409,Iasi,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"588,652.00",RON,Offline,DA,DA,79341000-6,Servicii de publicitate (Rev.2)
111,156466,10.01.2015 01:30,DIRECTIA GENERALA REGIONALA A FINANTELOR PUBLICE GALATI,3127190,Galati,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"940,600.00",RON,Online,DA,NU,79341000-6,Servicii de publicitate (Rev.2)
112,156452,10.01.2015 01:30,COMPANIA AQUASERV S.A,10755074,Mures,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"2,720,200.00",RON,Offline,DA,NU,79570000-0,Servicii de elaborare a listelor de adrese si servicii de expediere (Rev.2)
113,156486,10.01.2015 01:30,Comuna Maliuc,4508711,Tulcea,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"625,800.00",RON,Offline,DA,DA,34513300-9,Docuri plutitoare (Rev.2)
114,156477,10.01.2015 01:30,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,4547125,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,121,483.85",RON,Online,DA,DA,33100000-1,Echipamente medicale (Rev.2)
115,156471,10.01.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"2,248,304.50",RON,Offline,DA,NU,60172000-4,Inchiriere de autobuze si de autocare cu sofer (Rev.2)
116,156459,10.01.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"690,690.00",RON,Offline,DA,NU,15540000-5,Branzeturi (Rev.2)
117,156460,10.01.2015 01:30,Spitalul Clinic Colentina,4283929,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"7,726,028.00",RON,Offline,DA,NU,33600000-6,Produse farmaceutice (Rev.2)
118,156463,10.01.2015 01:30,OMV PETROM S.A,RO 1590082,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"84,824,176.00",RON,Offline,DA,NU,90522400-6,Curatarea si tratarea solului (Rev.2)
119,156469,10.01.2015 01:30,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"124,238,847.00",RON,Offline,DA,NU,45231400-9,Lucrari de constructii de linii electrice (Rev.2)
120,156472,10.01.2015 01:30,Compania de Apa Somes S.A.,R 201217,Cluj,Furnizare,DA,Negociere,Pretul cel mai scazut,"5,825,040.00",RON,Offline,DA,NU,09310000-5,Electricitate (Rev.2)
121,156510,12.01.2015 08:53,Centrul National SIS,27493318,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"538,935.00",RON,Online,NU,DA,72267000-4,Servicii de intretinere si reparatii de software (Rev.2)
122,156488,12.01.2015 12:40,SPITALUL CLINIC JUDETEAN MURES,24014380,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"194,314.20",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
123,156492,12.01.2015 12:43,SPITALUL JUDETEAN DE URGENTA VASLUI,3551942,Vaslui,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"125,802.64",RON,Online,NU,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
124,156503,12.01.2015 12:46,Institutul de Boli Cardiovasculare Prof. Dr. I. M. Georgescu,RO8615184,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"381,023.00",RON,Online,NU,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
125,156481,12.01.2015 12:55,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,967.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
126,156493,12.01.2015 13:13,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"40,800.00",RON,Offline,NU,NU,03211200-5,Porumb (Rev.2)
127,156499,12.01.2015 13:52,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"62,600.00",RON,Offline,NU,NU,34351100-3,Pneuri pentru autovehicule (Rev.2)
128,156500,12.01.2015 13:53,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"56,342.51",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
129,156502,12.01.2015 13:55,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"217,050.00",RON,Offline,NU,NU,15700000-5,Furaje (Rev.2)
130,156507,12.01.2015 14:01,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"953,400.00",RON,Offline,NU,NU,32552410-4,Modemuri (Rev.2)
131,156508,12.01.2015 14:08,"COMPANIA NATIONALA ""ADMINISTRATIA PORTURILOR MARITIME"" SA CONSTANTA",11062831,Constanta,Servicii,DA,Negociere,Pretul cel mai scazut,"1,691,000.00",RON,Offline,NU,NU,66513000-9,Servicii de asigurare legala si de asigurare impotriva tuturor riscurilor (Rev.2)
132,156514,12.01.2015 14:21,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"226,588.00",RON,Online,NU,NU,34351100-3,Pneuri pentru autovehicule (Rev.2)
133,156540,12.01.2015 17:06,Universitatea din Bucuresti,4505502,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"90,000.00",RON,Offline,NU,DA,38434000-6,Analizoare (Rev.2)
134,156519,13.01.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"600,000.00",RON,Offline,DA,NU,15811000-6,Produse de panificatie (Rev.2)
135,156478,13.01.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"38,169,600.00",RON,Offline,DA,NU,09132100-4,Benzina fara plumb (Rev.2)
136,156512,13.01.2015 01:30,COMPANIA NATIONALA DE INVESTITII,14273221,Bucuresti,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"5,760,155.00",EUR,Offline,DA,NU,45252100-9,Lucrari de constructii de statii de epurare (Rev.2)
137,156495,13.01.2015 01:30,SPITALUL CLINIC DE RECUPERARE IASI,4541092,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"39,682,946.82",RON,Online,DA,NU,33183100-7,Implanturi ortopedice (Rev.2)
138,156535,13.01.2015 01:30,COMUNA SOCODOR,3519330,Arad,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"746,836.00",RON,Offline,DA,DA,48952000-6,Sistem de sonorizare (Rev.2)
139,156536,13.01.2015 01:30,REGIA AUTONOMA DE ADMMINISTRARE A DOMENIULUI PUBLIC SI A FONDULUI LOCATIV R.A. CRAIOVA,RO 7403230,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,227,600.00",RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
140,156501,13.01.2015 01:30,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,205,645.00",RON,Online,DA,NU,09134200-9,Motorina (Rev.2)
141,156541,13.01.2015 01:30,Sectorul 2 al Municipiului Bucuresti,4204038,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"651,542.88",RON,Offline,DA,NU,03222321-9,Mere (Rev.2)
142,156515,13.01.2015 01:30,SPITALUL CLINIC DE URGENTA SF. PANTELIMON,4203881,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,075,522.80",RON,Online,DA,NU,15100000-9,"Produse de origine animala, carne si produse din carne (Rev.2)"
143,156479,13.01.2015 01:30,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",3694594,Maramures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"767,001.10",RON,Online,DA,NU,33153000-7,Litotritor (Rev.2)
144,156506,13.01.2015 01:30,MUNICIPIUL SUCEAVA,4244792,Suceava,Servicii,NU,Negociere,Pretul cel mai scazut,"4,456,711.25",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
145,156518,13.01.2015 01:30,Municipiul Galati,3814810,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"14,921,763.67",RON,Online,DA,DA,34923000-3,Echipament pentru controlul traficului rutier (Rev.2)
146,156485,13.01.2015 01:30,SPITALUL JUDETEAN DE URGENTA PLOIESTI,2844545,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,213,000.00",RON,Online,DA,NU,33763000-6,Servete din hartie pentru maini (Rev.2)
147,156537,13.01.2015 01:30,CONSILIUL JUDETEAN BRAILA,4205491,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"26,372,952.92",RON,Offline,DA,DA,34144510-6,Vehicule pentru transportul deseurilor menajere (Rev.2)
148,156530,13.01.2015 01:30,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"2,264,400.00",RON,Offline,DA,DA,71354300-7,Servicii de cadastru (Rev.2)
149,156533,13.01.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU OPTOELECTRONICA - INOE 2000,RO 9113623,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"200,000.00",EUR,Offline,DA,DA,34711200-6,Aeronave fara pilot (Rev.2)
150,156482,13.01.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"607,555.00",RON,Offline,DA,NU,15981100-9,Apa minerala plata (Rev.2)
151,156513,13.01.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU OPTOELECTRONICA - INOE 2000,RO 9113623,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,110,000.00",RON,Offline,DA,DA,38530000-9,Aparate de difractie (Rev.2)
152,156509,13.01.2015 01:30,Spitalul orasenesc Buhusi,4187271,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,094,095.60",RON,Offline,DA,NU,33100000-1,Echipamente medicale (Rev.2)
153,156498,13.01.2015 01:30,JUDETUL TELEORMAN,4652686,Teleorman,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,095,614.00",RON,Offline,DA,DA,33100000-1,Echipamente medicale (Rev.2)
154,156483,13.01.2015 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"27,420,000.00",RON,Offline,DA,NU,50531200-8,Servicii de intretinere a aparatelor cu gaz (Rev.2)
155,156511,13.01.2015 01:30,E-ON DISTRIBUTIE ROMANIA S.A.,RO10976687,Mures,Lucrari,DA,Negociere,Pretul cel mai scazut,"44,926,935.00",RON,Offline,DA,NU,31311000-9,Alimentare de la retea (Rev.2)
156,156497,13.01.2015 01:30,Inspectoratul General pentru Situatii de Urgenta,RO 4203997,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"36,290,323.00",RON,Online,DA,NU,35111100-6,Aparate de respirat pentru interventiile in caz de incendiu (Rev.2)
157,156552,13.01.2015 11:34,PRIMARIA CALMATUIU,4568586,Teleorman,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"13,882,472.40",RON,Offline,NU,DA,45251100-2,Lucrari de constructii de centrale electrice (Rev.2)
158,156520,13.01.2015 12:49,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2,17093691,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"401,640.70",RON,Offline,NU,NU,15111100-0,Carne de vita (Rev.2)
159,156516,13.01.2015 14:47,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"1,036,717.00",RON,Offline,NU,NU,45231400-9,Lucrari de constructii de linii electrice (Rev.2)
160,156517,13.01.2015 14:48,Compania Nationala a Uraniului - S.A. Bucuresti,10254529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"619,920.00",RON,Online,NU,NU,24311520-8,Hidroxid de sodiu (Rev.2)
161,156523,13.01.2015 14:53,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,260,496.00",RON,Online,NU,NU,31174000-6,Transformatoare de alimentare (Rev.2)
162,156524,13.01.2015 15:03,REGIA AUTONOMA DE TRANSPORT CRAIOVA,RO 2315129,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"196,500.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
163,156531,13.01.2015 15:04,AUTORITATEA NAVALA ROMANA,11055818,Constanta,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"270,000.00",RON,Online,NU,NU,60400000-2,Servicii de transport aerian (Rev.2)
164,156538,13.01.2015 15:04,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"33,000.00",EUR,Offline,NU,NU,34321200-5,Cutii de viteze (Rev.2)
165,156556,14.01.2015 01:30,APA TARNAVEI MARI SA,RO 19502679,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"15,278,006.18",RON,Offline,DA,DA,71241000-9,"Studii de fezabilitate, servicii de consultanta, analize (Rev.2)"
166,156548,14.01.2015 01:30,Consiliul Judetean Arad,3519941,Arad,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"7,918,040.00",RON,Offline,DA,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
167,156570,14.01.2015 01:30,"Institutul de Boli Infectioase ""Prof. Dr. Matei Bals""",9524980,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,542,390.00",RON,Offline,DA,DA,85145000-7,Servicii prestate de laboratoare medicale (Rev.2)
168,156529,14.01.2015 01:30,SPITALUL JUDETEAN DE URGENTA VASLUI,3551942,Vaslui,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,160,481.36",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
169,156542,14.01.2015 01:30,MUNICIPIUL PLOIESTI,2844855,Prahova,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"25,873,780.00",RON,Offline,DA,NU,45221111-3,Lucrari de constructii de poduri rutiere (Rev.2)
170,156532,14.01.2015 01:30,CAMERA DEPUTATILOR,4265795,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"5,000,000.00",RON,Online,DA,NU,60400000-2,Servicii de transport aerian (Rev.2)
171,156527,14.01.2015 01:30,"Spitalul Clinic de Urgenta pentru Copii ""Sf.Maria"" Iasi",4701339,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,990,087.30",RON,Online,DA,NU,33692800-5,Solutii de dializa (Rev.2)
172,156563,14.01.2015 01:30,Institutul Regional de Oncologie Iasi,29067408,Iasi,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"11,202,790.00",RON,Offline,DA,DA,31643000-5,Acceleratoare de particule (Rev.2)
173,156528,14.01.2015 01:30,Comuna Rasinari,4406134,Sibiu,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"2,900,000.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
174,156521,14.01.2015 01:30,"Institutul de Boli Cardiovasculare ""Prof.Dr.C.C. Iliescu""",4203628,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,697,625.06",RON,Online,DA,NU,33198200-6,Saculete sau plicuri din hartie pentru sterilizare (Rev.2)
175,156525,14.01.2015 01:30,SPITALUL MUNICIPAL CARACAL,4395086,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"668,830.08",RON,Online,DA,NU,33620000-2,"Medicamente pentru sange, pentru organele hematopoietice si pentru sistemul cardiovascular (Rev.2)"
176,156559,14.01.2015 01:30,Spitalul Clinic de Psihiatrie Prof. Dr. Alexandru Obregia,4266162,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"34,915,580.60",RON,Offline,DA,DA,33100000-1,Echipamente medicale (Rev.2)
177,156534,14.01.2015 01:30,SPITALUL CLINIC DE RECUPERARE IASI,4541092,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"8,431,025.28",RON,Online,DA,NU,33185200-2,Implant cohlear (Rev.2)
178,156539,14.01.2015 01:30,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2,17093691,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"877,852.60",RON,Offline,DA,NU,15542200-1,Branza cu pasta moale (Rev.2)
179,156546,14.01.2015 01:30,SPITALUL MUNICIPAL CARACAL,4395086,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"722,868.96",RON,Online,DA,NU,33660000-4,Medicamente pentru sistemul nervos si organele senzoriale (Rev.2)
180,156522,14.01.2015 01:30,"INSTITUTUL INIMII ""Niculae Stancioiu"" Cluj-Napoca",4617719,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"13,740,870.00",RON,Online,DA,NU,33140000-3,Consumabile medicale (Rev.2)
181,156574,14.01.2015 10:32,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"588,509.84",RON,Offline,NU,DA,30213000-5,Computere personale (Rev.2)
182,156585,14.01.2015 12:03,SPITALUL CLINIC C.F. CLUJ,4288349,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"383,087.50",RON,Online,NU,NU,33692400-1,Solutii pentru perfuzii (Rev.2)
183,156584,14.01.2015 13:30,UM 0929 Bucuresti,13624359,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"525,075.80",RON,Offline,NU,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
184,156591,14.01.2015 13:32,ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA  MISCHII-VULPENI,26571329,Dolj,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"13,122,896.69",RON,Offline,NU,DA,45251100-2,Lucrari de constructii de centrale electrice (Rev.2)
185,156553,14.01.2015 14:19,Penitenciar Spital Bucuresti Jilava,4266146,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"150,877.12",RON,Online,NU,NU,33611000-6,Medicamente impotriva tulburarilor provocate de hiperaciditate (Rev.2)
186,156544,14.01.2015 14:42,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,775,000.00",RON,Offline,NU,NU,44310000-6,Articole din sarma (Rev.2)
187,156545,14.01.2015 14:45,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"757,500.00",RON,Offline,NU,NU,79311100-8,Servicii de elaborare de studii (Rev.2)
188,156549,14.01.2015 14:48,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"31,268.00",RON,Online,NU,NU,50410000-2,"Servicii de reparare si de intretinere a aparatelor de masurare, de testare si de control (Rev.2)"
189,156550,14.01.2015 14:53,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"520,000.00",RON,Online,NU,NU,60441000-1,Servicii de pulverizare aeriana (Rev.2)
190,156554,14.01.2015 14:57,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"31,547.00",RON,Online,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
191,156557,14.01.2015 15:14,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"41,620.00",RON,Online,NU,NU,42419810-7,Piese pentru transportoare cu benzi (Rev.2)
192,156562,14.01.2015 15:16,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"210,000.00",EUR,Offline,NU,NU,34144710-8,Incarcatoare cu roti (Rev.2)
193,156567,14.01.2015 15:17,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"252,002.48",RON,Offline,NU,NU,90511000-2,Servicii de colectare a deseurilor menajere (Rev.2)
194,156568,14.01.2015 15:18,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"80,216.00",RON,Offline,NU,NU,60130000-8,Servicii de transport rutier specializat de pasageri (Rev.2)
195,156576,14.01.2015 15:24,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"56,895.00",RON,Online,NU,NU,30197644-2,Hartie xerografica (Rev.2)
196,156555,15.01.2015 01:30,SPITALUL DE BOLNAVI CRONICI SI GERIATRIE SF LUCA,4340650,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,128,440.00",RON,Offline,DA,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
197,156587,15.01.2015 01:30,SERVICIUL DE AMBULANTA JUDETEAN TULCEA,7480097,Tulcea,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,200,000.00",RON,Offline,DA,NU,50110000-9,Servicii de reparare si de intretinere a autovehiculelor si a echipamentelor conexe (Rev.2)
